player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,2406,1151,1.107358692904095,.7588565040727493,1.866215196976845,2.056921260796063,1.508738276584529,3.565659537380591,1.363152152328339,.9680782316963499,2.331230384024689,2.962126108077126,2.962126108077126,0,.6289918729415248,1.223213754960813,1.852205627902338,-.7447599698783329
Bam Adebayo,adebaba01,2020,3321,1621,-.9497132842781136,1.83787666205081,.8881633777726967,3.44855510482772,1.915703024570921,5.364258129398641,-.1249834823500282,1.94019767859506,1.815214196245031,3.743088455908476,3.743088455908476,0,-.2480244017619549,1.087784503894314,.8397601021323587,-.8784284587536973
LaMarcus Aldridge,aldrila01,2020,2982,1426,-.2964820237553547,.7189402198911952,.4224581961358405,-2.228882648114173,-2.324930261238137,-4.55381290935231,-.7564652913519437,.1693033687649711,-.5871619225869725,1.556856586741973,1.556856586741973,0,-.8111526436935891,.5939520490013657,-.2172005946922234,-1.083416331093848
Nickeil Alexander-Walker,alexani01,2020,1068,488,-2.463060061028891,-1.639425489051685,-4.102485550080576,1.688460186384145,-3.483194922847754,-1.794734736463609,-1.749861836344562,-2.07763468369885,-3.827496520043411,-.2691600147546366,-.2691600147546366,0,-.1376932547402592,-2.235791377517423,-2.373484632257682,.3376064688908097
Grayson Allen,allengr01,2020,1100,498,-.0553715131554465,-1.432193567807373,-1.48756508096282,-1.398012321256113,-2.857606360017385,-4.255618681273498,-.330318985588878,-1.788329417612587,-2.118648403201465,.1611580834883616,.1611580834883616,0,-.2830240317565795,-2.668864350541532,-2.951888382298112,.4736382622541146
Jarrett Allen,allenja01,2020,2661,1253,-1.447010517806414,3.293218033609931,1.846207515803517,4.126533942743352,-.9381902658420876,3.188343676901265,-.3555392357393278,2.604712738247048,2.24917350250772,3.171810518890671,3.171810518890671,0,-.7801081440920039,2.448162015516366,1.668053871424362,-.7684052817188178
Kadeem Allen,allenka01,2020,211,96,.0957318412417123,4.354958435775412,4.450690277017125,3.738258438854054,-9.370703789250882,-5.632445350396829,.9815777579128544,1.845666518818001,2.827244276730855,.2708326889875373,.2708326889875373,0,2.132274972361013,.8048847802648553,2.937159752625869,-.8727754916804428
Al-Farouq Aminu,aminual01,2020,793,380,-4.411124250791215,2.438358797820778,-1.972765452970437,-8.976292325816759,4.093390463450993,-4.882901862365766,-5.609899566995863,2.897051201652024,-2.712848365343839,.0071746355891152,.0071746355891152,0,-5.492151275058673,2.651360723665761,-2.840790551392912,-.3991792410453801
Justin Anderson,anderju01,2020,38,17,-8.308300764200681,6.636420161746178,-1.671880602454503,-18.41657043686445,11.87458974631588,-6.54198069054857,-10.91843445410032,8.116564414419473,-2.801870039680848,-.0004473158876292,-.0004473158876292,0,-10.48087098524,3.219814934187576,-7.261056051052418,-.5838006316157409
Kyle Anderson,anderky01,2020,1578,718,-.9274648088059637,1.615888912154513,.6884241033485498,-4.329250382735943,2.614971602829709,-1.714278779906234,-1.68007188305268,1.94920803589929,.2691361528466101,1.106270015225633,1.106270015225633,0,-1.843332455212891,.7929015409962039,-1.050430914216687,.0266837616776744
Ryan Anderson,anderry01,2020,33,14,-11.47946982536695,-2.159662280508774,-13.63913210587572,7.644057509204359,7.547946957359198,15.19200446656356,-8.155666236510692,-.1821663883586381,-8.33783262486933,-.041350320113788,-.041350320113788,0,-6.607793374273494,-1.869435319816704,-8.477228694090199,3.675538627611307
Giannis Antetokounmpo,antetgi01,2020,2944,1318,6.464368313518589,2.479455572505051,8.94382388602364,1.500890846642765,4.633369051299143,6.134259897941908,5.677442371632331,2.999090178945123,8.676532550577452,7.835730407067254,7.835730407067254,0,5.444441171400101,2.389866781952524,7.834307953352623,2.019175337419759
